cluster_id,L,a,b,R,G,B,HEX,global_proportion,colour_record_count,garment_count,chroma,hue_angle_deg,is_neutral,sort_group,palette_index
204,53.114534272453696,2.0412347919951515,0.17407437794991587,131,126,127,#837E7F,0.004297054967575094,77,77,2.048643786779473,4.8743310631626855,True,0,1
76,9.348336251940381,2.5172715225916233,0.2786035574824042,30,25,26,#1E191A,0.008921304492946343,58,58,2.5326420711763835,6.315609861939777,True,0,2
177,22.196432687553802,0.423194429157137,0.04756983802918269,54,53,53,#363535,0.007669814285949032,80,80,0.42585961813696044,6.413500943350925,True,0,3
121,26.07937455591927,3.9244480721279547,0.8307319126935473,68,60,61,#443C3D,0.004605128745810327,58,58,4.011409749900439,11.9520054766395,True,0,4
307,5.530617008564313,3.983142670188257,1.9293275202847884,25,16,15,#19100F,0.005986374129612591,49,49,4.425802775949544,25.84430354383528,True,0,5
429,32.424666313249766,5.606904133553958,3.147758763395685,87,73,72,#574948,0.003098171841774576,45,45,6.430066811114703,29.31018662924464,True,0,6
433,79.79906999120922,5.5694038005780655,3.2593304647472614,211,194,192,#D3C2C0,0.003225071907957814,41,41,6.45302206507331,30.33705483714283,True,0,7
354,71.28681908216666,6.204165514101677,3.780923926052504,189,171,168,#BDABA8,0.0028826008075517,46,46,7.265470078457746,31.358839929561213,True,0,8
104,48.01674517989781,4.0479204501265444,3.3034084752632706,123,112,109,#7B706D,0.004291454273082554,67,67,5.2247648296352915,39.21703984674741,True,0,9
344,12.6786208327729,0.8035189923980912,0.7489436527600857,34,32,32,#222020,0.012084918694105202,76,76,1.0984349621866847,42.98665076144806,True,0,10
2,3.9273390045531045,0.43259718077387266,0.4130404399192167,15,14,13,#0F0E0D,0.01943393472379325,102,102,0.5981159802430986,43.675178371482104,True,0,11
371,22.247083591805453,3.737144651119155,3.6509807041918356,61,51,48,#3D3330,0.005685227295451994,60,60,5.224548807865577,44.331818768571566,True,0,12
178,13.347703104423307,3.2644251061676446,3.3349264867714234,41,33,30,#29211E,0.00485920238854999,45,45,4.666712541602196,45.612071934818516,True,0,13
208,66.62387176578852,2.9923956954175717,3.5309714686047577,170,160,156,#AAA09C,0.004376549839203479,70,70,4.628411337603266,49.71969312735524,True,0,14
12,40.371873915285946,4.954551646228684,6.1339165396941855,107,92,85,#6B5C55,0.002534085714312696,51,51,7.884954922577633,51.071131138593444,True,0,15
382,9.983297168088647,2.4798356429734865,3.5647931531190844,33,26,23,#211A17,0.004847752512211764,39,39,4.342503314988536,55.17573248722425,True,0,16
46,85.49407563921348,2.603636291804687,3.982669025093424,222,212,206,#DED4CE,0.005856454088067381,46,46,4.758211271417134,56.82568629080197,True,0,17
193,75.27763807581933,0.5783520732703371,0.9928361340611458,187,185,184,#BBB9B8,0.004319848485540856,65,65,1.14900596593472,59.77812178113231,True,0,18
62,29.099808307018076,0.3677694013539963,0.7519897409046057,70,68,67,#464443,0.005178906855367239,69,69,0.8371038782600716,63.93851266464651,True,0,19
114,73.14579270186437,2.626130807982645,6.838713526505863,190,178,167,#BEB2A7,0.003795530370826659,53,53,7.325610262513959,68.99273733263811,True,0,20
68,89.48736524236799,2.236461636377176,6.078717776353296,234,223,213,#EADFD5,0.007998790081142638,55,55,6.477080395945416,69.80058966051337,True,0,21
112,17.697557488255946,0.8849925875175444,2.573580574695162,46,43,40,#2E2B28,0.0051782526315837605,50,50,2.721493864481285,71.02313620613165,True,0,22
419,53.53740271095576,1.4713606504073233,4.49207482165382,134,127,120,#867F78,0.003730129434324064,71,71,4.72690579204867,71.86400393238478,True,0,23
158,92.47219567744122,0.21790500995666218,0.7414069714393117,234,233,232,#EAE9E8,0.011661872008494915,79,79,0.7727657411292411,73.62154642679332,True,0,24
33,96.27876313550695,0.03709453047169564,0.1301944957171708,244,244,244,#F4F4F4,0.009904743497518008,59,59,0.13537581359298995,74.09688499554034,True,0,25
368,7.1362622680426995,0.7645288117398952,3.0344470003973205,25,21,17,#191511,0.0063776674778502586,47,47,3.129276737874219,75.8586522213522,True,0,26
362,40.334896732776485,0.3541182575781878,1.4808128623156256,97,95,93,#615F5D,0.003802354934109387,71,71,1.5225657534404244,76.55098843343922,True,0,27
278,35.009410058140766,0.7073741476201159,2.9676687592279722,86,82,78,#56524E,0.0037782767277813926,66,66,3.050809081083078,76.59313582418667,True,0,28
126,89.63871883292184,0.5384832674224311,2.7693555751986447,229,225,220,#E5E1DC,0.009142046986254036,70,70,2.821222169765748,78.99650976176747,True,0,29
265,81.81499270368269,0.572177849602018,5.734515520968122,209,203,193,#D1CBC1,0.004283920861852455,44,44,5.762990174536087,84.30200719685206,True,0,30
108,79.4097095996605,0.13257859691635332,2.337517250449493,199,196,192,#C7C4C0,0.005084569923038001,59,59,2.341274007994209,86.75379321824647,True,0,31
39,69.94361827530071,0.05128518927760961,1.0591738300669817,172,171,169,#ACABA9,0.006217870971770181,86,86,1.0604147174280445,87.22790380215201,True,0,32
435,61.541253876178104,0.010099044157686698,3.287570936125548,151,148,143,#97948F,0.004234421850981171,66,66,3.287586447646709,89.82399443281429,True,0,33
248,93.37738733812759,-0.0770709214675529,4.231506755803565,239,236,228,#EFECE4,0.00671514664786765,47,47,4.232208566617088,91.0434463607142,True,0,34
391,84.79018987849483,-0.1813162821959562,1.3070137225731182,212,212,209,#D4D4D1,0.005336997727615519,48,48,1.3195303957028817,97.89798462410624,True,0,35
8,23.193227983785746,-1.3757510646013689,6.124807610928473,57,56,46,#39382E,0.0027902377870430237,31,31,6.277416607382303,102.65962984200087,True,0,36
246,8.498297929539397,-0.2725176975146564,0.6864604920884445,25,25,24,#191918,0.014815881222188102,86,86,0.7385755903473924,111.652564420391,True,0,37
95,45.69335585750224,-1.1346487649375163,2.7476533123205917,108,109,104,#6C6D68,0.003493144774688399,59,59,2.972713666749718,112.43827282475957,True,0,38
173,13.43919297624759,-1.981993643652693,4.619279094725421,34,35,28,#22231C,0.0021265139381947047,19,19,5.026533413640755,113.22271495089802,True,0,39
401,65.14097814079285,-0.09241014630221489,0.1531582447153741,158,158,158,#9E9E9E,0.004760834490481376,76,76,0.17887728492989594,121.10526219995069,True,0,40
418,34.08572133335157,-5.494847952407973,-0.17764037001551758,70,83,80,#465350,0.0015949807696454715,23,23,5.497718628771515,181.85164357167855,True,0,41
406,18.28007627233801,-4.700581185719564,-1.1165883353002495,36,47,46,#242F2E,0.00220251677852349,21,21,4.8313800299779075,193.36252957758825,True,0,42
274,61.99109108583133,-4.038869223598036,-1.238850956401111,141,152,152,#8D9898,0.001863255033557047,26,26,4.224596583995133,197.05245922080528,True,0,43
447,80.01257335711082,-3.5397270702581682,-1.4273556007973753,190,201,201,#BEC9C9,0.0027260844229952488,26,26,3.8166754830671827,201.96120861773403,True,0,44
309,11.272576335403848,-5.658697621517362,-2.4957933586901295,19,32,33,#132021,0.0025659693535552636,19,19,6.18464576682028,203.8000875822879,True,0,45
390,90.29196123036694,-3.7189252172798195,-5.468745391604399,214,230,237,#D6E6ED,0.0020241748836347107,21,21,6.613439417573439,235.78302014170072,True,0,46
329,83.37679473684291,-3.0258786723408626,-6.253163029166343,196,210,219,#C4D2DB,0.003276558005752637,26,26,6.94679707556368,244.17786003131386,True,0,47
